00_default100 100x36 t=0 [0.0, 4.0, 0.0, 0.55, 0.46, 0.12, 0.08, 0.35, 0.65, 0.5, 0.0]
01_default160 160x60 t=0 [0.0, 4.0, 0.0, 0.55, 0.46, 0.12, 0.08, 0.35, 0.65, 0.5, 0.0]
02_large2000 2000x1000 t=0 [0.0, 4.0, 0.0, 0.55, 0.46, 0.12, 0.08, 0.35, 0.65, 0.5, 0.0]
03_random 100x36 t=0 [2.0, 10.0, 0.0, 0.55, 0.775, 0.45000005, -0.6, 0.2, 0.1, 0.4, 0.6]
04_motion 100x36 t=9 [2.0, 10.0, 0.0, 0.55, 0.775, 0.45000005, -0.6, 0.2, 0.1, 0.4, 0.6]
05_random 100x36 t=0 [2.0, 5.0, 4.0, 0.45000002, 0.4, 0.25, -0.8, 0.05, 0.95, 1.3000001, 0.5]
06_motion 100x36 t=9 [2.0, 5.0, 4.0, 0.45000002, 0.4, 0.25, -0.8, 0.05, 0.95, 1.3000001, 0.5]
07_random 100x36 t=0 [3.0, 8.25, 0.0, 0.6, 0.65, 0.5500001, -0.5, 0.05, 0.95, 0.05, 0.65000004]
08_motion 100x36 t=9 [3.0, 8.25, 0.0, 0.6, 0.65, 0.5500001, -0.5, 0.05, 0.95, 0.05, 0.65000004]
09_random 100x36 t=0 [4.0, 10.75, 4.0, 0.95, 0.82500005, -0.8, 0.14999998, 0.05, 0.95, 0.55, 0.95]
10_motion 100x36 t=9 [4.0, 10.75, 4.0, 0.95, 0.82500005, -0.8, 0.14999998, 0.05, 0.95, 0.55, 0.95]
11_random 100x36 t=0 [4.0, 3.5, 3.0, 0.90000004, 0.275, -0.85, 0.100000024, 1.0, 0.90000004, 1.0, 0.95]
12_motion 100x36 t=9 [4.0, 3.5, 3.0, 0.90000004, 0.275, -0.85, 0.100000024, 1.0, 0.90000004, 1.0, 0.95]
13_random 100x36 t=0 [0.0, 5.75, 3.0, 0.05, 0.45000002, -0.54999995, 0.39999998, 1.0, 0.90000004, 1.5, 0.1]
14_motion 100x36 t=9 [0.0, 5.75, 3.0, 0.05, 0.45000002, -0.54999995, 0.39999998, 1.0, 0.90000004, 1.5, 0.1]
15_random 100x36 t=0 [4.0, 6.0, 1.0, 0.95, 0.47500002, -0.75, 0.20000005, 0.45000002, 0.35, 1.5500001, 1.0]
16_motion 100x36 t=9 [4.0, 6.0, 1.0, 0.95, 0.47500002, -0.75, 0.20000005, 0.45000002, 0.35, 1.5500001, 1.0]
17_random 100x36 t=0 [1.0, 7.5, 5.0, 0.35, 0.6, 0.0, 0.95000005, 0.85, 0.75, 1.9, 0.35]
18_motion 100x36 t=9 [1.0, 7.5, 5.0, 0.35, 0.6, 0.0, 0.95000005, 0.85, 0.75, 1.9, 0.35]
19_random 100x36 t=0 [3.0, 4.75, 4.0, 0.6, 0.375, 0.5500001, -0.5, 0.95, 0.85, 1.3000001, 0.65000004]
20_motion 100x36 t=9 [3.0, 4.75, 4.0, 0.6, 0.375, 0.5500001, -0.5, 0.95, 0.85, 1.3000001, 0.65000004]
21_random 100x36 t=0 [3.0, 4.75, 0.0, 0.65000004, 0.375, 0.65, -0.39999998, 0.7, 0.6, 1.25, 0.7]
22_motion 100x36 t=9 [3.0, 4.75, 0.0, 0.65000004, 0.375, 0.65, -0.39999998, 0.7, 0.6, 1.25, 0.7]
23_random 100x36 t=0 [1.0, 6.25, 5.0, 0.3, 0.47500002, -0.099999964, 0.85, 0.55, 0.5, 1.6, 0.3]
24_motion 100x36 t=9 [1.0, 6.25, 5.0, 0.3, 0.47500002, -0.099999964, 0.85, 0.55, 0.5, 1.6, 0.3]
25_random 100x36 t=0 [4.0, 6.0, 2.0, 0.90000004, 0.47500002, -0.85, 0.100000024, 1.0, 0.90000004, 1.5500001, 0.95]
26_motion 100x36 t=9 [4.0, 6.0, 2.0, 0.90000004, 0.47500002, -0.85, 0.100000024, 1.0, 0.90000004, 1.5500001, 0.95]
